"RANKING","PAIS","JUGADOR","EDAT","PUNTS","TORNEJOS","WL","TITOLS","RANKING_DOB","GUANYS_IND","GUANYS_DOB","GUANYS_TOT"
"979","SRB","Ilija Vucic",27,"11",9,"0-0","0","382",2066,3269,5335
"980","USA","Isaiah Strode",20,"11",10,"0-0","0","895",3090,1930,5020
"981","GRE","Ioannis Stergiou",22,"11",12,"0-0","0","1597",2558,456,3014
"982T","BEL","Michael Geerts",22,"11",13,"0-0","0","1207",3735,1384,5119
"982T","TPE","Chien-hsun Lo",18,"11",13,"0-0","0","1104",4009,900,4909
"982T","CRO","Franjo Raspudic",26,"11",13,"0-0","0","0",4013,600,4613
"985","ARG","Facundo Juarez",20,"11",13,"0-0","0","0",2253,312,2565
"986","CZE","Matej Vocel",20,"11",13,"0-0","0","401",3082,3380,6462
"987","AUT","Dominic Weidinger",22,"11",14,"0-0","0","1618",2202,312,2514
"988","SUI","Simeon Rossier",22,"11",14,"0-0","0","0",3130,706,3836
"989","AUS","Calum Puttergill",24,"11",15,"0-0","0","870",4418,2324,6742
"990","NED","Tim Van Terheijden",27,"11",15,"0-0","0","978",3532,1236,4768
"991","ITA","Simone Roncalli",21,"11",17,"0-0","0","1466",3722,822,4544
"992","ITA","Enrico Dalla Valle",19,"11",18,"0-0","0","855",4596,1944,6540
"993","BRA","Eduardo Dischinger",25,"11",18,"0-0","0","520",3122,3383,6505
"994","AUT","Peter Goldsteiner",27,"11",19,"0-0","0","1306",3941,840,4781
"995T","NED","Marc Dijkhuizen",21,"11",19,"0-0","0","749",2976,1650,4626
"995T","GEO","George Tsivadze",24,"11",19,"1-3","0","655",3588,1880,5468
"997","SUI","Loic Perret",23,"11",20,"0-0","0","686",2698,1728,4426
"998","URU","Santiago Maresca",23,"11",23,"0-0","0","825",4125,2133,6258
"999","GBR","Joshua Paris",21,"11",23,"0-0","0","1067",4254,1132,5386
"1000","POL","Mateusz Terczynski",21,"11",23,"0-0","0","823",3498,1752,5250
