"RANKING","PAIS","EDAT","TORNEJOS","TITOLS","GUANYS_IND","WIN","LOSE","ATP","GUANYSNORM","GUANYSDISC"
240,"ARG",25,30,0,41133,0,0,"NOATP",0.699,"MIG-BAIX"
241,"ITA",25,23,0,73653,2,2,"ATP",1.852,"MIG"
242,"BEL",23,28,0,26516,0,0,"NOATP",0.181,"BAIX"
243,"USA",23,23,0,62413,0,2,"ATP",1.454,"MIG"
244,"NED",21,24,0,48934,0,2,"ATP",0.976,"MIG-BAIX"
245,"BRA",29,26,0,68536,1,3,"ATP",1.671,"MIG"
246,"JPN",20,25,0,39546,0,1,"ATP",0.643,"MIG-BAIX"
247,"ITA",26,33,0,64922,0,1,"ATP",1.543,"MIG"
250,"BLR",23,16,0,59975,2,2,"ATP",1.367,"MIG"
251,"SRB",25,23,0,34784,0,0,"NOATP",0.474,"MIG-BAIX"
252,"POR",23,29,0,28241,0,0,"NOATP",0.243,"BAIX"
253,"USA",27,23,0,48330,0,1,"ATP",0.955,"MIG-BAIX"
254,"ESP",25,21,0,28224,0,0,"NOATP",0.242,"BAIX"
255,"IND",27,22,0,44169,1,1,"ATP",0.807,"MIG-BAIX"
256,"ESP",20,34,0,31557,0,0,"NOATP",0.36,"MIG-BAIX"
257,"USA",27,25,0,56531,0,0,"NOATP",1.245,"MIG-BAIX"
258,"FRA",34,27,0,25542,0,0,"NOATP",0.147,"BAIX"
260,"ARG",25,27,0,36720,0,0,"NOATP",0.543,"MIG-BAIX"
261,"ESP",27,21,0,46407,0,1,"ATP",0.886,"MIG-BAIX"
262,"POL",20,22,0,29497,0,4,"ATP",0.287,"MIG-BAIX"
263,"ITA",22,22,0,59752,0,0,"NOATP",1.359,"MIG"
264,"CHI",21,20,0,87774,2,2,"ATP",2.352,"MIG-ALT"
265,"AUS",27,25,0,32687,0,0,"NOATP",0.4,"MIG-BAIX"
266,"ITA",30,26,0,28460,0,0,"NOATP",0.25,"BAIX"
267,"USA",24,25,0,48255,0,0,"NOATP",0.952,"MIG-BAIX"
